76	158
158	209
209	76
3	49
49	209
209	3
158	3
174	195
195	58
58	174
3	73
73	49
72	3
3	174
174	72
58	72
52	3
72	52
195	194
194	58
158	174
58	52
70	71
71	49
49	70
70	73
73	52
52	70
29	65
65	71
71	29
70	29
35	67
67	70
70	35
35	52
58	35
29	67
67	64
64	29
37	64
67	37
29	30
30	65
35	1
1	67
64	30
58	66
66	35
194	196
196	41
41	194
66	41
41	69
69	66
58	41
196	68
68	41
66	1
68	42
42	4
4	68
68	62
62	42
41	43
43	69
63	4
42	63
40	42
62	40
4	43
43	68
68	44
44	62
69	36
36	66
34	1
1	36
36	34
57	30
30	37
37	57
37	1
34	37
63	43
40	63
40	56
56	63
56	43
38	56
40	38
23	45
45	62
62	23
45	40
56	36
36	43
56	34
44	23
30	5
5	65
51	31
31	28
28	51
5	31
31	65
51	33
33	65
65	51
11	33
51	11
50	31
5	50
50	57
57	28
28	50
30	50
32	11
51	32
39	32
32	28
28	39
12	33
11	12
57	39
13	33
33	7
7	13
83	33
13	83
83	85
85	33
145	65
65	139
139	145
139	143
143	145
85	137
137	139
139	85
65	85
139	153
153	143
83	15
15	85
149	151
151	145
145	149
145	141
141	149
143	141
149	147
147	151
87	139
137	87
15	137
13	89
89	83
151	65
19	11
32	19
17	39
57	17
56	17
17	34
12	7
39	19
39	2
2	19
57	34
2	17
17	38
38	2
101	7
12	101
19	12
19	101
7	95
95	13
18	38
38	45
45	18
91	84
84	83
83	91
87	153
137	138
138	87
144	149
141	144
149	150
150	147
155	144
144	143
143	155
15	84
84	137
82	138
137	82
89	14
14	83
140	143
153	140
153	138
82	153
149	142
142	150
91	137
150	148
148	147
155	149
95	89
148	151
23	18
25	18
23	25
25	44
44	6
6	25
107	2
2	18
18	107
25	113
113	18
107	19
24	131
131	125
125	24
24	44
44	131
24	119
119	6
6	24
125	119
119	20
20	113
113	119
6	113
114	119
125	114
44	132
132	131
107	113
113	108
108	107
107	101
21	95
95	101
101	21
107	109
109	101
16	106
106	109
109	16
108	16
16	107
101	102
102	21
109	102
106	102
111	21
102	111
108	106
113	115
115	108
21	103
103	95
131	27
27	125
103	89
22	112
112	127
127	22
22	131
131	126
126	22
120	127
127	117
117	120
120	131
131	127
126	112
120	27
132	116
116	26
26	132
26	133
133	131
131	26
116	133
130	132
132	134
134	130
134	140
140	130
126	133
133	112
130	135
135	132
114	110
110	20
20	114
125	121
121	114
110	115
115	20
121	110
128	124
124	132
132	128
135	128
117	27
124	129
129	132
153	128
128	140
153	124
135	140
121	27
117	121
115	106
68	132
122	132
129	122
10	100
100	91
91	10
10	83
83	90
90	10
93	137
137	88
88	93
90	100
97	90
83	97
104	14
14	96
96	104
89	96
86	137
93	86
104	97
97	14
88	153
153	93
104	90
96	103
103	111
111	96
86	82
136	155
143	136
143	154
154	136
142	148
149	146
146	142
149	152
152	157
157	149
86	153
154	140
140	149
149	154
148	146
146	157
157	148
152	148
134	149
149	136
88	92
92	153
100	137
116	153
153	112
112	116
110	106
117	153
153	110
110	117
117	112
106	111
153	122
129	153
123	132
132	118
118	123
153	118
118	122
153	123
116	123
111	104
153	94
94	98
98	153
137	99
99	92
92	137
149	156
156	152
153	99
99	94
156	148
98	105
105	153
153	111
106	153
100	105
105	137
153	100
100	104
104	153
94	137
137	98
134	156
134	148
